thrower_steamid,thrower,grenade_type,tick,X,Y,Z,entity_id,round_num
76561198194325317,dumau,CFlashbang,7232,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7240,,,,328,2
76561198194325317,dumau,CFlashbang,7240,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7248,,,,328,2
76561198194325317,dumau,CFlashbang,7248,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7256,,,,328,2
76561198194325317,dumau,CFlashbang,7256,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7264,,,,328,2
76561198194325317,dumau,CFlashbang,7264,,,,329,2
76561197989744167,apEX,CSmokeGrenade,7264,,,,333,2
76561197973140692,mezii,CSmokeGrenade,7264,,,,334,2
76561198194325317,dumau,CSmokeGrenade,7272,,,,328,2
76561198194325317,dumau,CFlashbang,7272,,,,329,2
76561197989744167,apEX,CSmokeGrenade,7272,,,,333,2
76561197973140692,mezii,CSmokeGrenade,7272,,,,334,2
76561198194325317,dumau,CSmokeGrenade,7280,,,,328,2
76561198194325317,dumau,CFlashbang,7280,,,,329,2
76561197989744167,apEX,CSmokeGrenade,7280,,,,333,2
76561197973140692,mezii,CSmokeGrenade,7280,,,,334,2
76561198194325317,dumau,CSmokeGrenade,7288,,,,328,2
76561198194325317,dumau,CFlashbang,7288,,,,329,2
76561197989744167,apEX,CSmokeGrenade,7288,,,,333,2
76561197973140692,mezii,CSmokeGrenade,7288,,,,334,2
76561198194325317,dumau,CSmokeGrenade,7296,,,,328,2
76561198194325317,dumau,CFlashbang,7296,,,,329,2
76561197989744167,apEX,CSmokeGrenade,7296,,,,333,2
76561197973140692,mezii,CSmokeGrenade,7296,,,,334,2
76561198194325317,dumau,CSmokeGrenade,7304,,,,328,2
76561198194325317,dumau,CFlashbang,7304,,,,329,2
76561197989744167,apEX,CSmokeGrenade,7304,,,,333,2
76561197973140692,mezii,CSmokeGrenade,7304,,,,334,2
76561198194325317,dumau,CSmokeGrenade,7312,,,,328,2
76561198194325317,dumau,CFlashbang,7312,,,,329,2
76561197989744167,apEX,CSmokeGrenade,7312,,,,333,2
76561197973140692,mezii,CSmokeGrenade,7312,,,,334,2
76561198194325317,dumau,CSmokeGrenade,7320,,,,328,2
76561198194325317,dumau,CFlashbang,7320,,,,329,2
76561197989744167,apEX,CSmokeGrenade,7320,,,,333,2
76561197973140692,mezii,CSmokeGrenade,7320,,,,334,2
76561198194325317,dumau,CSmokeGrenade,7328,,,,328,2
76561198194325317,dumau,CFlashbang,7328,,,,329,2
76561197989744167,apEX,CSmokeGrenade,7328,,,,333,2
76561197973140692,mezii,CSmokeGrenade,7328,,,,334,2
76561198194325317,dumau,CSmokeGrenade,7336,,,,328,2
